2026-04-11T12:10:17.465-04:00 [gateway] loading configuration…
2026-04-11T12:10:17.546-04:00 [gateway] resolving authentication…
2026-04-11T12:10:17.616-04:00 [gateway] starting...
2026-04-11T12:10:18.755-04:00 [gateway] starting HTTP server...
2026-04-11T12:10:18.778-04:00 [canvas] host mounted at http://127.0.0.1:18789/__openclaw__/canvas/ (root C:\Users\dal_n\.openclaw\canvas)
2026-04-11T12:10:18.850-04:00 [gateway] MCP loopback server listening on http://127.0.0.1:53097/mcp
2026-04-11T12:10:19.672-04:00 [heartbeat] started
2026-04-11T12:10:19.681-04:00 [health-monitor] started (interval: 300s, startup-grace: 60s, channel-connect-grace: 120s)
2026-04-11T13:45:24.095-04:00 [ws] ⇄ res ✓ config.get 1555ms conn=ae67026c…628c id=bbb6e156…dfed
2026-04-11T13:45:40.632-04:00 [ws] ⇄ res ✓ chat.history 85ms conn=ae67026c…628c id=dcacfe13…6e40
2026-04-11T13:55:22.352-04:00 [ws] ⇄ res ✓ config.schema 346ms conn=ae67026c…628c id=6f320b96…ea99
2026-04-11T13:55:23.797-04:00 [ws] ⇄ res ✓ config.get 1423ms conn=ae67026c…628c id=37ecab45…bb42
2026-04-11T13:55:41.822-04:00 [gateway] update.run completed actor=openclaw-control-ui device=378b486bba3697267d134ba0eb3136906bbc5100e20f8322d329fd1787a2f2e6 ip=unknown-ip conn=ae67026c-15b5-401f-bbc9-deff3c33628c changedPaths=<n/a> restartReason=update.run status=skipped
2026-04-11T13:55:41.832-04:00 [ws] ⇄ res ✓ update.run 2580ms conn=ae67026c…628c id=2e0aeca9…5ca0
2026-04-11T13:55:58.147-04:00 [gateway] update.run completed actor=openclaw-control-ui device=378b486bba3697267d134ba0eb3136906bbc5100e20f8322d329fd1787a2f2e6 ip=unknown-ip conn=ae67026c-15b5-401f-bbc9-deff3c33628c changedPaths=<n/a> restartReason=update.run status=skipped
2026-04-11T13:55:58.152-04:00 [ws] ⇄ res ✓ update.run 1733ms conn=ae67026c…628c id=d347e964…2bbe
2026-04-11T13:56:56.840-04:00 [ws] ⇄ res ✓ chat.history 79ms conn=ae67026c…628c id=1ce5377b…3cc4
2026-04-11T13:58:08.048-04:00 [ws] ⇄ res ✓ config.get 119ms conn=ae67026c…628c id=49701b8d…a4dc
